id,ident,type,name,lat,long,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
340330,UA-0135,small_airport,Pryvillia Airfield,46.1497,33.4064,NA,EU,Ukraine,UA,Kherson,UA-65,65,Pryvillia,0,NA,NA,NA,NA,NA,NA,0,2021-01-27T16:14:15Z
320856,UA-0095,small_airport,Turiisk Airfield,51.021679,24.618763,NA,EU,Ukraine,UA,Volyn,UA-07,07,Radovychi,0,NA,NA,NA,NA,NA,NA,0,2021-01-27T16:04:37Z
324581,UA-0119,small_airport,Romashky Airstrip,49.7354043,30.5536534,NA,EU,Ukraine,UA,Kiev,UA-32,32,Romashky,0,NA,NA,NA,NA,NA,NA,0,2017-07-29T00:36:36Z
44291,UKFG,medium_airport,Gvardeyskoe Air Base,45.115002,33.977001,721,EU,Ukraine,UA,Crimea,UA-43,43,Sarabuz,0,UKFG,NA,NA,NA,NA,"Gvardeyskoye Air Base, Аэродром Гвардейское, Hvardiiske",0,2021-03-05T11:06:42Z
44293,UKFB,medium_airport,Sevastopol International Airport / Belbek Air Base,44.691822,33.57462,344,EU,Ukraine,UA,Sevastopol (city),UA-40,40,Sevastopol,0,UKFB,UKS,NA,NA,https://en.wikipedia.org/wiki/Sevastopol_International_Airport,"Аэропорт Бельбек, URFB",0,2021-03-19T15:50:30Z
44307,UA-0016,small_airport,Yukharina Balka Airfield,44.5509986877,33.4879989624,NA,EU,Ukraine,UA,Sevastopol (city),UA-40,40,Sevastopol,0,NA,NA,NA,NA,NA,Аэродром Юхарина Балка,0,2010-03-05T16:48:40Z
44309,UA-0018,small_airport,Sevastopol Kozachya Bay Aerodrome / Khersones Air Base,44.578466,33.395462,46,EU,Ukraine,UA,Sevastopol (city),UA-40,40,Sevastopol,0,NA,NA,NA,NA,NA,"Hersones Air Base, Аэродром Херсонес, Khersones Air Base, Kozachya Bukhta",0,2021-03-19T15:55:16Z
44602,UA-0041,closed,Yuzhniy Airfield,44.5800018311,33.4959983826,NA,EU,Ukraine,UA,Sevastopol (city),UA-40,40,Sevastopol,0,NA,NA,NA,NA,NA,"Molochka Airfield, Аэродром Южный, Аэродром Молочка",0,2010-03-05T16:48:18Z
44677,UA-0044,heliport,Sevastopol Naval Institute Helipad,44.61029815673828,33.47949981689453,NA,EU,Ukraine,UA,Sevastopol (city),UA-40,40,Sevastopol,0,NA,NA,NA,NA,NA,Sevastopol Navy Institute Helipad,0,2009-08-10T15:18:53Z
46271,UA-0063,heliport,Kruglaya Bukhta Heliport,44.6014149349,33.4506440163,NA,EU,Ukraine,UA,Sevastopol (city),UA-40,40,Sevastopol,0,NA,NA,NA,NA,NA,"Sevastopolsky Aviaremontny Zavod Heliport, Sevastopol Aircraft Repair Plant Heliport, Вертодром Круглая Бухта",0,2010-03-05T17:32:39Z
